,0,1,2
146,0.0,0.0,40.0
147,0.0,0.0,43.0
148,0.0,0.0,51.0
149,0.0,0.0,55.0
150,0.0,0.0,40.0
151,0.0,0.0,49.0
152,0.0,0.0,40.0
153,0.0,0.0,40.0
154,0.0,0.0,43.0
155,0.0,0.0,41.0
156,0.0,0.0,46.0
157,0.0,0.0,43.0
158,0.0,0.0,46.0
159,0.0,0.0,31.0
160,0.0,0.0,37.0
161,0.0,0.0,27.0
162,0.0,0.0,30.0
163,0.0,0.0,18.0
164,0.0,0.0,25.0
165,0.0,0.0,13.0
166,0.0,0.0,16.0
167,0.0,0.0,15.0
168,0.0,0.0,26.0
169,0.0,0.0,19.0
170,0.0,0.0,29.0
171,0.0,0.0,14.0
172,0.0,0.0,16.0
173,0.0,0.0,11.0
174,0.0,0.0,7.0
175,0.0,0.0,6.0
176,0.0,0.0,5.0
177,0.0,0.0,4.0
178,0.0,0.0,2.0
179,0.0,0.0,2.0
180,0.0,0.0,4.0
181,0.0,0.0,1.0
182,0.0,0.0,1.0
183,0.0,0.0,0.0
184,0.0,0.0,1.0
185,0.0,0.0,0.0
186,0.0,0.0,0.0
187,0.0,0.0,0.0
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.0
192,0.0,0.0,0.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,0.0,0.0,0.0
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,0.0,0.0,0.0
206,0.0,0.0,0.0
207,0.0,0.0,0.0
208,0.0,0.0,0.0
209,0.0,0.0,0.0
210,0.0,0.0,0.0
211,0.0,0.0,0.0
212,0.0,0.0,0.0
213,0.0,0.0,0.0
214,0.0,0.0,0.0
215,0.0,0.0,0.0
216,0.0,0.0,0.0
217,0.0,0.0,0.0
218,0.0,0.0,0.0
219,0.0,0.0,0.0
220,0.0,0.0,0.0
221,0.0,0.0,0.0
222,0.0,0.0,0.0
223,0.0,0.0,0.0
224,0.0,0.0,0.0
225,0.0,0.0,0.0
226,0.0,0.0,0.0
227,0.0,0.0,0.0
228,0.0,0.0,0.0
229,0.0,0.0,0.0
230,0.0,0.0,0.0
231,0.0,0.0,0.0
232,0.0,0.0,0.0
233,0.0,0.0,0.0
234,0.0,0.0,0.0
235,0.0,0.0,0.0
236,0.0,0.0,0.0
237,0.0,0.0,0.0
238,0.0,0.0,0.0
239,0.0,0.0,0.0
240,0.0,0.0,0.0
241,0.0,0.0,0.0
242,0.0,0.0,0.0
243,0.0,0.0,0.0
244,0.0,0.0,0.0
245,0.0,0.0,0.0
246,0.0,0.0,0.0
247,0.0,0.0,0.0
248,0.0,0.0,0.0
249,0.0,0.0,0.0
250,0.0,0.0,0.0
251,0.0,0.0,0.0
252,0.0,0.0,0.0
253,0.0,0.0,0.0
254,0.0,0.0,0.0
255,0.0,0.0,0.0
